Provinsi,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Nusa Tenggara Timur,1.6559602513571434,1.6471935647142857,1.638426878071428,1.6296601914285702,1.6208935047857125,1.6121268181428583,1.68,1.67,1.66,1.250366913,1.559587752,1.501459161
Kalimantan Barat,1.987936989916662,1.9400218803333331,1.8921067707499901,1.8441916611666613,1.7962765515833325,1.7483614419999896,1.61,1.58,1.56,2.036942921,1.391470147,1.333534523
Kalimantan Tengah,3.34343607761906,3.1833612802381026,3.023286482857145,2.8632116854761875,2.70313688809523,2.5430620907142725,2.31,2.28,2.26,1.837282602,1.611282316,1.513239102
Kalimantan Selatan,2.1449756764285723,2.0780207418571592,2.0110658072857177,1.9441108727143046,1.877155938142863,1.8102010035714216,1.77,1.74,1.71,1.131089825,1.606773178,1.513367381
Kalimantan Timur,3.063434926440465,2.9405943201309412,2.8177537138214177,2.694913107511894,2.5720725012023706,2.449231894892847,2.31,2.28,2.24,2.13,1.496695463,1.414897869
Kalimantan Utara,6.71436523727391,6.292659874547667,5.870954511821537,5.449249149095294,5.027543786369165,4.605838423642922,3.9,3.87,3.84,2.86,2.249596731,2.0957176
Sulawesi Utara,1.5411563621154727,1.4836654126059443,1.4261744630964301,1.3686835135869018,1.3111925640773734,1.2537016145678592,1.11,1.09,1.07,1.401985292,0.8505573967,0.8173960455
Sulawesi Tengah,2.0291324641190585,1.9691466707380982,1.9091608773571522,1.849175083976192,1.789189290595246,1.7292034972142858,1.65,1.63,1.61,1.216622155,1.617368136,1.530149125
Sulawesi Selatan,1.0381645088904765,1.0417817076309532,1.045398906371429,1.049016105111905,1.0526333038523816,1.0562505025928575,1.08,1.06,1.05,1.183529076,0.971354264,0.9553398354
Sulawesi Tenggara,2.583440828738077,2.5049896912261715,2.4265385537142663,2.348087416202361,2.2696362786904842,2.191185141178579,2.14,2.12,2.1,1.578844295,1.745119454,1.66127643
Gorontalo,1.977138748809523,1.9078055646190535,1.8384723804285557,1.7691391962380862,1.6998060120476168,1.6304728278571474,1.61,1.59,1.58,1.158867406,1.055940912,1.022979674
Sulawesi Barat,2.4152160908452345,2.3463353329404697,2.277454575035705,2.2085738171309686,2.139693059226204,2.070812301321439,1.93,1.92,1.91,1.982532058,1.658114405,1.576144663
Maluku,2.370967686853561,2.2777872432071433,2.1846067995606973,2.0914263559142796,1.998245912267862,1.905065468621416,1.78,1.77,1.75,1.826611399,0.9893975017,1.010018877
Maluku Utara,2.8867104768690695,2.776181708238113,2.665652939607156,2.5551241709761996,2.444595402345243,2.3340666337142864,2.13,2.11,2.08,2.070554782,1.691344817,1.6115978
Papua Barat,3.8659566436666637,3.7255721635833083,3.585187683499953,3.4448032034166545,3.304418723333299,3.1640342432500006,2.59,2.57,2.55,3.943776723,2.686243712,2.458412228
Papua,3.1120206647142936,2.9911617611785744,2.870302857642855,2.749443954107136,2.6285850505714166,2.5077261470356973,1.93,1.9,1.88,4.128153318,1.606100286,1.516635045
